stroke_type,effect,0,1,2,3,4,5,6
LVO IVT,t0,0.11622092,0.09051261999999999,0.1328374,0.16403797999999997,0.2230195,0.11839158000000001,0.15497999999999998
LVO IVT,no_effect,0.05,0.079,0.136,0.164,0.247,0.135,0.189
LVO MT,t0,0.3259205,0.12696925,0.1228225,0.16415825,0.14708125,0.06579825,0.04725
LVO MT,no_effect,0.05,0.079,0.136,0.164,0.247,0.135,0.189
nLVO IVT,t0,0.42659177912136187,0.20340822087863814,0.10732995123119196,0.11047671206896162,0.0852295149020275,0.03092998752303709,0.03603383427478171
nLVO IVT,no_effect,0.19639425922109857,0.2636057407789014,0.11305943865789497,0.12263355844367874,0.1489417939318638,0.06625734158880014,0.0891078673777621
